,domain,domain_label,iat_score,year,age,sex,sex_male,political_raw,explicit_pref,explicit_thermo_diff,pct_300,pct_error,n_trials,valid_iat,quality_flag,iat_z_within_domain,year_centered,age_centered,political_centered,domain_age,year_x_age,age_x_age,male_x_age,politics_x_age,domain_weight,year_x_weight,age_x_weight,male_x_weight,politics_x_weight,domain_korea_usa,year_x_korea_usa,age_x_korea_usa,male_x_korea_usa,politics_x_korea_usa
42,age,Age IAT: Young-Good over Old-Good,0.6729603847207101,2006.0,23.0,f,0.0,,,5.0,0.0,6.666666666666667,120.0,True,True,0.4525871359222538,-6.386165634512508,-1.6738138400950184,,1.0,-6.386165634512508,-1.6738138400950184,0.0,,0.0,-0.0,-0.0,0.0,,0.0,-0.0,-0.0,0.0,
43,age,Age IAT: Young-Good over Old-Good,0.7809004131828977,2006.0,47.0,m,1.0,,,3.0,0.0,4.166666666666667,120.0,True,True,0.7338222799715007,-6.386165634512508,22.32618615990498,,1.0,-6.386165634512508,22.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
44,age,Age IAT: Young-Good over Old-Good,0.5944275403481827,2006.0,36.0,m,1.0,,,1.0,0.0,1.6666666666666667,120.0,True,True,0.24797170164485946,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
45,age,Age IAT: Young-Good over Old-Good,0.8699680618814443,2006.0,43.0,m,1.0,,,2.0,0.0,0.8333333333333334,120.0,True,True,0.9658858931531328,-6.386165634512508,18.32618615990498,,1.0,-6.386165634512508,18.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
46,age,Age IAT: Young-Good over Old-Good,0.49213373834374846,2006.0,37.0,m,1.0,,,4.0,0.0,1.6666666666666667,120.0,True,True,-0.018552335377607174,-6.386165634512508,12.326186159904982,,1.0,-6.386165634512508,12.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
47,age,Age IAT: Young-Good over Old-Good,1.0590622195988881,2006.0,33.0,f,0.0,,,1.0,0.0,0.8333333333333334,120.0,True,True,1.45856616609901,-6.386165634512508,8.326186159904982,,1.0,-6.386165634512508,8.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
48,age,Age IAT: Young-Good over Old-Good,-0.2727560148588601,2006.0,40.0,f,0.0,,,0.0,0.0,5.833333333333333,120.0,True,True,-2.011454162331311,-6.386165634512508,15.326186159904982,,1.0,-6.386165634512508,15.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
49,age,Age IAT: Young-Good over Old-Good,0.7825745017654123,2006.0,41.0,m,1.0,,,-1.0,0.0,5.833333333333333,120.0,True,True,0.7381840774470279,-6.386165634512508,16.32618615990498,,1.0,-6.386165634512508,16.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
50,age,Age IAT: Young-Good over Old-Good,1.2376500663603427,2006.0,36.0,m,1.0,,,4.0,0.0,2.5,120.0,True,True,1.9238724989299008,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
51,age,Age IAT: Young-Good over Old-Good,1.0838199921631377,2006.0,42.0,f,0.0,,,1.0,0.0,5.833333333333333,120.0,True,True,1.5230719461385653,-6.386165634512508,17.32618615990498,,1.0,-6.386165634512508,17.32618615990498,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
52,age,Age IAT: Young-Good over Old-Good,0.423162849757362,2006.0,30.0,m,1.0,,,3.0,0.0,2.5,120.0,True,True,-0.19825432418699412,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
53,age,Age IAT: Young-Good over Old-Good,0.6326925001651962,2006.0,39.0,m,1.0,,,3.0,0.0,2.5,120.0,True,True,0.3476701327041608,-6.386165634512508,14.326186159904982,,1.0,-6.386165634512508,14.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
54,age,Age IAT: Young-Good over Old-Good,0.911939726892613,2006.0,24.0,f,0.0,,,0.0,0.0,6.666666666666667,120.0,True,True,1.0752420553069884,-6.386165634512508,-0.6738138400950184,,1.0,-6.386165634512508,-0.6738138400950184,0.0,,0.0,-0.0,-0.0,0.0,,0.0,-0.0,-0.0,0.0,
55,age,Age IAT: Young-Good over Old-Good,1.1626957753616824,2006.0,25.0,m,1.0,,,2.0,0.0,4.166666666666667,120.0,True,True,1.72858089926628,-6.386165634512508,0.32618615990498157,,1.0,-6.386165634512508,0.32618615990498157,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
56,age,Age IAT: Young-Good over Old-Good,0.9934277178098971,2006.0,36.0,m,1.0,,,2.0,0.0,2.5,120.0,True,True,1.287557052721819,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
57,age,Age IAT: Young-Good over Old-Good,0.3586168538697909,2006.0,31.0,m,1.0,,,-1.0,0.0,15.0,120.0,True,True,-0.3664273616584654,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
58,age,Age IAT: Young-Good over Old-Good,0.6980030288439886,2006.0,34.0,f,0.0,,,4.0,0.0,3.3333333333333335,120.0,True,True,0.5178351419467421,-6.386165634512508,9.326186159904982,,1.0,-6.386165634512508,9.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
59,age,Age IAT: Young-Good over Old-Good,0.06686205892303004,2006.0,34.0,f,0.0,,,0.0,0.0,4.166666666666667,120.0,True,True,-1.1265874519687458,-6.386165634512508,9.326186159904982,,1.0,-6.386165634512508,9.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
60,age,Age IAT: Young-Good over Old-Good,0.5192270450445535,2006.0,35.0,m,1.0,,,3.0,0.0,3.3333333333333335,120.0,True,True,0.052038622595324525,-6.386165634512508,10.326186159904982,,1.0,-6.386165634512508,10.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
61,age,Age IAT: Young-Good over Old-Good,0.9848834095644603,2006.0,36.0,m,1.0,,,0.0,0.0,4.166666666666667,120.0,True,True,1.2652950634075548,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
62,age,Age IAT: Young-Good over Old-Good,1.3383403600052741,2006.0,44.0,m,1.0,,,2.0,0.0,7.5,120.0,True,True,2.1862186335477287,-6.386165634512508,19.32618615990498,,1.0,-6.386165634512508,19.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
63,age,Age IAT: Young-Good over Old-Good,1.100688496660785,2006.0,27.0,f,0.0,,,2.0,0.0,2.5,120.0,True,True,1.5670224282709013,-6.386165634512508,2.3261861599049816,,1.0,-6.386165634512508,2.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
64,age,Age IAT: Young-Good over Old-Good,0.9063654726820107,2006.0,30.0,f,0.0,,,5.0,0.0,1.6666666666666667,120.0,True,True,1.0607184702364598,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
65,age,Age IAT: Young-Good over Old-Good,0.5871210725993354,2006.0,40.0,f,0.0,,,2.0,0.0,4.166666666666667,120.0,True,True,0.228934875926789,-6.386165634512508,15.326186159904982,,1.0,-6.386165634512508,15.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
66,age,Age IAT: Young-Good over Old-Good,0.9322519392715185,2006.0,38.0,m,1.0,,,2.0,0.0,0.8333333333333334,120.0,True,True,1.1281650353703252,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
67,age,Age IAT: Young-Good over Old-Good,1.283018933276177,2006.0,35.0,m,1.0,,,1.0,0.0,1.6666666666666667,120.0,True,True,2.042079988813003,-6.386165634512508,10.326186159904982,,1.0,-6.386165634512508,10.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
68,age,Age IAT: Young-Good over Old-Good,1.0473515024452427,2006.0,32.0,m,1.0,,,4.0,0.0,5.833333333333333,120.0,True,True,1.4280541746483202,-6.386165634512508,7.326186159904982,,1.0,-6.386165634512508,7.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
69,age,Age IAT: Young-Good over Old-Good,1.3079447123843735,2006.0,60.0,m,1.0,,,0.0,0.0,0.0,120.0,True,True,2.1070235058557927,-6.386165634512508,35.32618615990498,,1.0,-6.386165634512508,35.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
70,age,Age IAT: Young-Good over Old-Good,0.8584556622483619,2006.0,28.0,f,0.0,,,1.0,0.0,5.833333333333333,120.0,True,True,0.9358906132251067,-6.386165634512508,3.3261861599049816,,1.0,-6.386165634512508,3.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
71,age,Age IAT: Young-Good over Old-Good,0.7296584847195942,2006.0,31.0,m,1.0,,,6.0,0.8333333333333334,6.666666666666667,120.0,True,True,0.6003126696994718,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
72,age,Age IAT: Young-Good over Old-Good,0.5987546094770939,2006.0,15.0,f,0.0,,,7.0,0.8333333333333334,18.333333333333332,120.0,True,True,0.25924577602780907,-6.386165634512508,-9.673813840095018,,1.0,-6.386165634512508,-9.673813840095018,0.0,,0.0,-0.0,-0.0,0.0,,0.0,-0.0,-0.0,0.0,
73,age,Age IAT: Young-Good over Old-Good,0.7248597392719776,2006.0,51.0,m,1.0,,,3.0,0.0,5.833333333333333,120.0,True,True,0.5878096540300912,-6.386165634512508,26.32618615990498,,1.0,-6.386165634512508,26.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
74,age,Age IAT: Young-Good over Old-Good,1.160565595054165,2006.0,38.0,m,1.0,,,5.0,0.0,0.8333333333333334,120.0,True,True,1.7230307657878046,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
75,age,Age IAT: Young-Good over Old-Good,0.5232347300002615,2006.0,33.0,f,0.0,,,0.0,0.0,5.0,120.0,True,True,0.06248054920846582,-6.386165634512508,8.326186159904982,,1.0,-6.386165634512508,8.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
76,age,Age IAT: Young-Good over Old-Good,1.1632178174530363,2006.0,49.0,m,1.0,,,1.0,0.0,0.8333333333333334,120.0,True,True,1.7299410673601128,-6.386165634512508,24.32618615990498,,1.0,-6.386165634512508,24.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
77,age,Age IAT: Young-Good over Old-Good,0.1886823348320289,2006.0,38.0,f,0.0,,,1.0,0.0,2.5,120.0,True,True,-0.809187657550608,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
78,age,Age IAT: Young-Good over Old-Good,0.5164483457978605,2006.0,31.0,m,1.0,,,3.0,0.0,1.6666666666666667,120.0,True,True,0.0447987886426495,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
79,age,Age IAT: Young-Good over Old-Good,0.5604179714108303,2006.0,29.0,m,1.0,,,2.0,0.0,5.0,120.0,True,True,0.15936058901670508,-6.386165634512508,4.326186159904982,,1.0,-6.386165634512508,4.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
80,age,Age IAT: Young-Good over Old-Good,0.621543350397292,2006.0,37.0,f,0.0,,,2.0,0.8333333333333334,3.3333333333333335,120.0,True,True,0.31862129154972696,-6.386165634512508,12.326186159904982,,1.0,-6.386165634512508,12.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
81,age,Age IAT: Young-Good over Old-Good,1.0304176784545402,2006.0,28.0,f,0.0,,,1.0,0.0,0.8333333333333334,120.0,True,True,1.3839335041502752,-6.386165634512508,3.3261861599049816,,1.0,-6.386165634512508,3.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
