region,year,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate
부산광역시,2022,290.0,657294.3566535767,44.120263176524254
부산광역시,2023,351.0,648376.9199171818,54.135178045022606
부산광역시,2024,319.0,637976.1143778282,50.00187198404717
서울특별시,1996,302.0,1325693.2515083107,22.780533857013964
서울특별시,1997,318.0,1358359.939800117,23.410584388022645
서울특별시,1998,571.0,1398085.4114005356,40.841567714235666
서울특별시,1999,344.0,1440032.8168374887,23.888344486167448
서울특별시,2000,311.0,1483614.711825407,20.962315722614562
서울특별시,2001,293.0,1524716.453917858,19.21668774853957
서울특별시,2002,455.0,1557313.0435302595,29.21699024420706
서울특별시,2003,531.0,1581375.0521556996,33.57837214367023
서울특별시,2004,654.0,1603042.2882024376,40.79742654408445
서울특별시,2005,601.0,1632112.4807204315,36.823442446485814
서울특별시,2006,613.0,1657438.4240329338,36.98478272926895
서울특별시,2007,554.0,1679000.1895426295,32.995827126792236
서울특별시,2008,625.0,1704443.5782848452,36.66885826921462
서울특별시,2009,768.0,1741201.765398117,44.10746734020228
서울특별시,2010,818.0,1776046.323616451,46.057357239103894
서울특별시,2011,868.0,1804858.3278075117,48.092417372970246
서울특별시,2012,808.0,1824630.838115552,44.28293017531639
서울특별시,2013,876.0,1839407.8654483135,47.62402164603635
서울특별시,2014,875.0,1851990.6401410317,47.246459082178056
서울특별시,2015,765.0,1855584.0908429385,41.22691091043373
서울특별시,2016,766.0,1852206.2124384777,41.35608631781561
서울특별시,2017,737.0,1843809.8861523308,39.971583053932655
서울특별시,2018,737.0,1828334.1085635477,40.30991909783014
서울특별시,2019,744.0,1817705.3432293818,40.93072635624158
서울특별시,2020,624.0,1808713.9321674593,34.499651321435564
서울특별시,2021,585.0,1794536.1364901597,32.59895346237893
서울특별시,2022,597.0,1780069.3477059212,33.538019222081914
서울특별시,2023,626.0,1762508.1675355998,35.5175659058247
서울특별시,2024,706.0,1739253.9832560723,40.59211632094649
세종특별자치시,2012,11.0,15913.788241528755,69.12244798692437
세종특별자치시,2013,8.0,17523.05428776017,45.65414150196401
세종특별자치시,2014,7.0,20402.477645162322,34.309558484725436
세종특별자치시,2015,14.0,33278.289513355725,42.069469929881215
세종특별자치시,2016,20.0,40824.43578083519,48.990266778870925
세종특별자치시,2017,24.0,47311.383865005584,50.727748882762825
세종특별자치시,2018,25.0,54019.77477955497,46.279348816281676
세종특별자치시,2019,25.0,60241.48266364153,41.49964259609539
세종특별자치시,2020,19.0,65278.9118950285,29.105877301620588
세종특별자치시,2021,23.0,59090.91718404752,38.92307159214174
세종특별자치시,2022,27.0,73731.58048354115,36.6193153909499
세종특별자치시,2023,19.0,76178.44708134998,24.941437805512294
세종특별자치시,2024,28.0,77650.08084738652,36.059202636287274
울산광역시,1997,37.0,110200.94967799992,33.575028262561815
울산광역시,1998,78.0,117769.66824877451,66.23097539447443
울산광역시,1999,45.0,125327.47908965242,35.905932463390144
울산광역시,2000,43.0,133845.2718394859,32.12664848674505
울산광역시,2001,56.0,143323.16743595045,39.07253865640793
울산광역시,2002,54.0,152413.21642493212,35.42999830765762
울산광역시,2003,76.0,160464.95916240817,47.36236521462586
울산광역시,2004,82.0,167805.9899322705,48.865955281510914
울산광역시,2005,72.0,175455.22703956076,41.03611001783709
울산광역시,2006,71.0,182909.76137728794,38.816955128790696
울산광역시,2007,73.0,189802.05532309334,38.461121970325706
울산광역시,2008,87.0,196656.60618941803,44.23955120846656
울산광역시,2009,88.0,204008.3555995675,43.13548812320634
울산광역시,2010,102.0,210720.6046935706,48.40532806382563
울산광역시,2011,108.0,217289.57881231597,49.70325801647629
울산광역시,2012,91.0,223593.8109350055,40.6988009281044
울산광역시,2013,108.0,228718.06900796588,47.21970610736423
울산광역시,2014,96.0,233677.9578616319,41.08218031280667
울산광역시,2015,119.0,237451.56932728217,50.11548263805364
울산광역시,2016,105.0,240131.20094573687,43.726096228422705
울산광역시,2017,109.0,241769.89458394068,45.08419056374946
울산광역시,2018,145.0,242859.10874551188,59.70539904761947
울산광역시,2019,143.0,243971.70749135248,58.61335376564867
울산광역시,2020,119.0,244875.47071717674,48.596129147390656
울산광역시,2021,134.0,244927.4532195354,54.710077714274036
울산광역시,2022,104.0,244416.319625389,42.550350221866644
울산광역시,2023,153.0,243256.16824910016,62.89665791468208
울산광역시,2024,138.0,241012.2220647926,57.25850698264619
인천광역시,1996,93.0,258566.20368417786,35.96757761644425
인천광역시,1997,114.0,276676.3700206725,41.20337417737635
인천광역시,1998,140.0,296100.09997427923,47.28130791315542
인천광역시,1999,103.0,315616.1439562782,32.63457905190946
인천광역시,2000,115.0,336714.3951391183,34.153573966591516
인천광역시,2001,110.0,357500.3818946762,30.769197900439526
인천광역시,2002,126.0,376700.1533379571,33.44835378576523
인천광역시,2003,217.0,391451.57587207155,55.43469828076941
인천광역시,2004,179.0,404290.2509607986,44.275121543150064
인천광역시,2005,185.0,419384.7625735353,44.11223690263709
인천광역시,2006,224.0,434283.5100762998,51.579209157779246
인천광역시,2007,190.0,448970.35342367704,42.31905259470527
인천광역시,2008,200.0,463931.00204517413,43.109858819162405
인천광역시,2009,280.0,479938.46575870214,58.340812411725956
인천광역시,2010,296.0,495754.4999780813,59.70697190102903
인천광역시,2011,307.0,512701.3816667318,59.8789102151391
인천광역시,2012,288.0,529722.5355411326,54.36808530446918
인천광역시,2013,311.0,544717.3078274474,57.093834826066676
인천광역시,2014,344.0,558565.7724698798,61.58630137304912
인천광역시,2015,289.0,569847.7339142722,50.71530214130449
인천광역시,2016,269.0,580954.9150063093,46.30307671931455
인천광역시,2017,266.0,588984.7201751153,45.1624619261623
인천광역시,2018,298.0,594569.5943049117,50.12028917294035
인천광역시,2019,305.0,601383.8235181577,50.71636250801
인천광역시,2020,284.0,605803.241685588,46.87990760990283
인천광역시,2021,240.0,610682.9147344448,39.30026437768672
인천광역시,2022,260.0,617050.9120317465,42.13590725340721
인천광역시,2023,325.0,621872.5518112456,52.261512275049874
인천광역시,2024,366.0,623296.9912570843,58.720001080358195
전라남도,1996,70.0,289515.0660332219,24.178361754744564
전라남도,1997,64.0,293003.3701307259,21.84275217429952
전라남도,1998,97.0,297518.53824097774,32.60301041188701
전라남도,1999,145.0,301877.63197803125,48.032707507972034
전라남도,2000,89.0,306673.18748858874,29.02112203836264
전라남도,2001,107.0,311274.5292893156,34.374800997786856
전라남도,2002,156.0,313787.4988269133,49.715173671099734
전라남도,2003,155.0,315428.32464794785,49.13953119872693
전라남도,2004,179.0,316983.3218878076,56.4698479825241
전라남도,2005,164.0,320145.42615263164,51.226719672643966
전라남도,2006,163.0,324085.84037606657,50.29531676263799
전라남도,2007,158.0,326552.9880349261,48.384184432298404
전라남도,2008,163.0,331296.960102268,49.200572184448525
전라남도,2009,181.0,338690.1766497731,53.44117204413796
전라남도,2010,208.0,345544.1342081848,60.19491561523176
전라남도,2011,191.0,353001.18521455803,54.10746705677719
전라남도,2012,190.0,359078.0802855207,52.91328277374147
전라남도,2013,173.0,363733.34170312,47.56231562109668
전라남도,2014,186.0,368864.98136139085,50.424954766245165
전라남도,2015,199.0,372919.3599327722,53.36274309702629
