age_band_2024,profile_2022,profile_2024,n,weighted_share
55 - 59세,depression_alcohol,low_self_esteem_alcohol,1,0.0028843847885070286
55 - 59세,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,2,0.0028364869917133525
55 - 59세,low_income_only,alcohol_only,2,0.0027325868796733875
55 - 59세,lower_observed_risk,compound_psych_alcohol_low_income,1,0.002473964972897105
55 - 59세,compound_psych_alcohol_low_income,alcohol_only,1,0.002138063480172219
55 - 59세,lower_observed_risk,low_self_esteem_alcohol,1,0.0019714241665062795
55 - 59세,psych_low_income,alcohol_only,1,0.0009556506198915501
55 - 59세,compound_psych_alcohol_low_income,lower_observed_risk,1,0.0007643772158684854
55 - 59세,psych_low_income,compound_psych_alcohol_low_income,1,0.0006174053403402214
55 - 59세,low_self_esteem_alcohol,lower_observed_risk,1,0.00040630666736814143
60 - 64세,lower_observed_risk,lower_observed_risk,107,0.21549270273364748
60 - 64세,alcohol_only,alcohol_only,46,0.10187307628403022
60 - 64세,lower_observed_risk,psych_only,24,0.056209891351781616
60 - 64세,psych_only,lower_observed_risk,19,0.05225578422339298
60 - 64세,lower_observed_risk,alcohol_only,27,0.0500736860713493
60 - 64세,alcohol_only,lower_observed_risk,26,0.048297520041601344
60 - 64세,psych_low_income,psych_low_income,18,0.040968075158547335
60 - 64세,low_income_only,low_income_only,18,0.03676947541177288
60 - 64세,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,11,0.02865125199115043
60 - 64세,psych_low_income,psych_only,8,0.025700306527182012
60 - 64세,psych_only,psych_only,6,0.02446536090980436
60 - 64세,low_income_only,lower_observed_risk,10,0.022390148589773323
60 - 64세,low_income_only,psych_low_income,7,0.019526443558791438
60 - 64세,lower_observed_risk,low_income_only,12,0.018784157586203748
60 - 64세,depression_alcohol,alcohol_only,6,0.018271452927074744
60 - 64세,alcohol_only,depression_alcohol,6,0.016641497179900693
60 - 64세,lower_observed_risk,depression_alcohol,6,0.015649146933405685
