survey_year,age_band,profile,n,weighted_share
2023,60 - 64세,depression_alcohol,25,0.04051154688152344
2023,60 - 64세,low_income_only,67,0.13396789877513463
2023,60 - 64세,low_self_esteem_alcohol,7,0.014195089355515863
2023,60 - 64세,lower_observed_risk,182,0.34907047410090886
2023,60 - 64세,psych_low_income,47,0.08786190869359127
2023,60 - 64세,psych_only,56,0.11428839363766732
2024,40 - 44세,alcohol_only,89,0.23402942005896807
2024,40 - 44세,compound_psych_alcohol_low_income,6,0.01588877076744241
2024,40 - 44세,depression_alcohol,19,0.06838530125235724
2024,40 - 44세,low_income_only,20,0.07416469711568865
2024,40 - 44세,low_self_esteem_alcohol,10,0.020191497485870465
2024,40 - 44세,lower_observed_risk,165,0.4805896406140999
2024,40 - 44세,psych_low_income,8,0.02224712350144235
2024,40 - 44세,psych_only,25,0.0845035492041311
2024,45 - 49세,alcohol_only,123,0.2987651633711021
2024,45 - 49세,compound_psych_alcohol_low_income,5,0.009539455884623235
2024,45 - 49세,depression_alcohol,27,0.06427939855855695
2024,45 - 49세,low_income_only,21,0.045285493973815594
2024,45 - 49세,low_self_esteem_alcohol,5,0.004703644209888043
2024,45 - 49세,lower_observed_risk,192,0.4530712531042086
2024,45 - 49세,psych_low_income,13,0.02585289032702592
2024,45 - 49세,psych_only,46,0.09850270057077937
2024,50 - 54세,alcohol_only,125,0.22985366360435677
2024,50 - 54세,compound_psych_alcohol_low_income,13,0.020200698307131976
2024,50 - 54세,depression_alcohol,16,0.03674034726283416
2024,50 - 54세,low_income_only,44,0.09463993014088964
2024,50 - 54세,low_self_esteem_alcohol,10,0.01197698964186231
2024,50 - 54세,lower_observed_risk,215,0.4413164927427214
2024,50 - 54세,psych_low_income,23,0.04349555925639067
2024,50 - 54세,psych_only,64,0.12177631904381306
2024,55 - 59세,alcohol_only,107,0.22417870090415606
2024,55 - 59세,compound_psych_alcohol_low_income,10,0.01918237382368163
2024,55 - 59세,depression_alcohol,26,0.05351460654828728
2024,55 - 59세,low_income_only,42,0.09483834629336883
2024,55 - 59세,low_self_esteem_alcohol,15,0.04246096607893001
2024,55 - 59세,lower_observed_risk,203,0.41699537967226014
2024,55 - 59세,psych_low_income,31,0.06995662493457094
2024,55 - 59세,psych_only,37,0.07887300174474504
2024,60 - 64세,alcohol_only,97,0.20202300526348388
2024,60 - 64세,compound_psych_alcohol_low_income,16,0.04576206653037835
2024,60 - 64세,depression_alcohol,22,0.05305811737436631
2024,60 - 64세,low_income_only,55,0.1000006544229925
2024,60 - 64세,low_self_esteem_alcohol,8,0.014243279848538926
2024,60 - 64세,lower_observed_risk,176,0.353183335464302
2024,60 - 64세,psych_low_income,47,0.0986265787481021
2024,60 - 64세,psych_only,52,0.133102962347836
