year,코드,시도,시군구,지역,CHS_No,주관적 건강수준인지율_조율,주관적 건강수준인지율_표준화율,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,스트레스인지율_조율,스트레스인지율_표준화율,우울감경험률_조율,우울감경험률_표준화율,스트레스인지율_청소년,우울감경험률_청소년,스트레스로인한정신상담률_조율,스트레스로인한정신상담률_표준화율,우울증상으로인한정신상담률_조율,우울증상으로인한정신상담률_표준화율,기분상태및우울_40세_1차검진_특이소견없음,기분상태및우울_40세_1차검진_2차추가진단필요,기분상태및우울_40세_2차검진_특이소견없음,기분상태및우울_40세_2차검진_경계상태,기분상태및우울_40세_2차검진_우울증의심,기분상태및우울_66세_1차검진_특이소견없음,기분상태및우울_66세_1차검진_2차추가진단필요,기분상태및우울_66세_2차검진_특이소견없음,기분상태및우울_66세_2차검진_경계상태,기분상태및우울_66세_2차검진_우울증의심,지역안전등급_자살,행복감지수_조율,행복감지수_표준화율,고의적자해(자살)_사망자수_전체,고의적자해(자살)_사망률_전체,고의적자해(자살)_표준화사망률_전체,고의적자해(자살)_사망자수_남자,고의적자해(자살)_사망률_남자,고의적자해(자살)_표준화사망률_남자,고의적자해(자살)_사망자수_여자,고의적자해(자살)_사망률_여자,고의적자해(자살)_표준화사망률_여자,자살생각률_조율,자살생각률_표준화율,자살시도율_조율,자살시도율_표준화율,지역안정등급_자살,스트레스 인지율_조율,스트레스 인지율_표준화율,우울감 경험률_조율,우울감 경험률_표준화율,삶의 질 지수(EQ-5D)_조율,삶의 질 지수(EQ-5D)_표준화율,스트레스로 인한 정신상담률_조율,스트레스로 인한 정신상담률_표준화율,스트레스 인지율_청소년,우울감 경험률_청소년,우울증상으로 인한 정신상담률_조율,우울증상으로 인한 정신상담률_표준화율,행복감 지수_조율,행복감 지수_표준화율
2017,37,경상북도,경상북도,경상북도,N  ,37.2,42.4,24.0,25.0,12.0,12.9,22.6,24.7,5.3,5.1,35.8,22.1,7.2,6.7,17.9,18.4,21857.0,1223.0,266.0,38.0,87.0,17847.0,2307.0,611.0,64.0,43.0,3.0,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,38,경상남도,경상남도,경상남도,O  ,37.5,41.3,23.5,24.0,12.8,13.8,20.9,22.3,5.1,5.0,36.4,24.3,8.1,7.7,19.6,19.3,32212.0,1693.0,303.0,53.0,106.0,18480.0,2353.0,546.0,59.0,54.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,39,제주특별자치도,제주특별자치도,제주특별자치도,P  ,42.0,46.4,25.9,27.4,14.1,15.7,23.4,24.5,6.4,6.4,33.9,22.9,8.7,8.0,23.2,21.7,5580.0,400.0,114.0,16.0,47.0,2777.0,456.0,161.0,10.0,12.0,2.0,6.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0,전국,전국,전국,   ,,,,,,,,,,,40.4,27.1,,,,,,,,,,,,,,,,,,13670.0,26.6,22.6,9862.0,38.5,32.7,3808.0,14.8,13.0,,,,,,,,,,,,,,,,,,,
2018,11,서울특별시,서울특별시,서울특별시,A  ,43.5,45.8,32.9,33.7,22.0,22.6,26.4,27.7,5.1,4.9,42.7,29.6,8.0,7.9,22.4,22.9,,,,,,,,,,,2.0,,,2172.0,22.5,18.9,1475.0,31.3,26.1,697.0,14.2,12.4,,,,,,,,,,,,,,,,,,,
2018,21,부산광역시,부산광역시,부산광역시,B  ,37.0,40.4,26.9,27.2,18.6,19.3,22.9,24.4,6.7,6.0,35.2,24.2,9.5,9.1,22.8,23.2,,,,,,,,,,,5.0,,,952.0,27.9,23.0,689.0,41.0,33.6,263.0,15.1,13.3,,,,,,,,,,,,,,,,,,,
2018,22,대구광역시,대구광역시,대구광역시,C  ,37.7,40.5,26.4,26.6,20.8,21.9,21.9,23.3,3.5,3.4,38.5,23.1,5.5,5.2,22.6,21.5,,,,,,,,,,,4.0,,,656.0,26.8,23.1,447.0,36.8,31.7,209.0,16.9,15.6,,,,,,,,,,,,,,,,,,,
2018,23,인천광역시,인천광역시,인천광역시,D  ,34.9,36.5,29.4,30.2,18.4,18.8,30.4,31.7,8.4,8.1,40.4,25.4,8.9,8.8,19.9,19.6,,,,,,,,,,,4.0,,,816.0,27.9,24.3,580.0,39.6,34.6,236.0,16.2,14.7,,,,,,,,,,,,,,,,,,,
2018,24,광주광역시,광주광역시,광주광역시,E  ,38.9,40.9,32.8,33.1,16.7,17.5,25.6,26.4,4.5,4.5,40.3,28.3,7.9,7.5,22.7,23.2,,,,,,,,,,,2.0,,,373.0,25.7,23.1,267.0,37.1,33.3,106.0,14.5,14.3,,,,,,,,,,,,,,,,,,,
2018,25,대전광역시,대전광역시,대전광역시,F  ,46.1,48.0,36.5,36.5,22.3,23.3,26.5,27.9,4.7,4.7,41.9,28.3,6.7,6.8,20.5,22.3,,,,,,,,,,,3.0,,,420.0,28.3,24.5,296.0,39.9,34.6,124.0,16.7,15.2,,,,,,,,,,,,,,,,,,,
2018,26,울산광역시,울산광역시,울산광역시,G  ,45.4,47.0,34.9,34.5,21.1,21.2,23.8,25.2,4.7,4.8,36.7,24.3,6.4,6.5,16.8,16.0,,,,,,,,,,,3.0,,,313.0,27.1,24.2,245.0,41.3,36.9,68.0,12.1,11.4,,,,,,,,,,,,,,,,,,,
2018,29,세종특별자치시,세종특별자치시,세종특별자치시,Q  ,42.1,43.6,29.7,28.1,12.2,12.5,30.9,30.1,6.3,6.1,39.6,27.5,9.6,9.0,25.7,23.0,,,,,,,,,,,1.0,,,77.0,26.0,24.5,56.0,37.9,37.4,21.0,14.2,12.2,,,,,,,,,,,,,,,,,,,
