year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2022,24000,광주광역시,광주광역시,광주광역시,44.4,48.2,24.3,25.9,6.5,6.3,,,,,0.951,0.96,,,,,22.6,23.0,,False
2022,25000,대전광역시,대전광역시,대전광역시,53.7,58.3,23.4,24.5,7.0,6.7,,,,,0.949,0.959,,,,,30.5,34.3,,False
2022,26000,울산광역시,울산광역시,울산광역시,44.4,48.2,20.5,21.9,8.1,7.8,,,,,0.947,0.954,,,,,22.7,25.2,,False
2022,29000,세종특별자치시,세종특별자치시,세종특별자치시,58.9,62.1,20.1,20.1,4.1,4.1,,,,,0.962,0.964,,,,,18.1,17.2,,False
2022,31000,경기도,경기도,경기도,47.1,50.5,23.2,24.6,7.3,7.1,,,,,0.952,0.959,,,,,25.7,27.0,,False
2022,32000,강원도,강원도,강원도,42.1,48.0,22.0,25.5,7.8,7.1,,,,,0.936,0.954,,,,,22.2,23.4,,False
2022,33000,충청북도,충청북도,충청북도,46.0,50.9,22.7,25.2,8.2,7.8,,,,,0.942,0.956,,,,,21.1,22.2,,False
2022,34000,충청남도,충청남도,충청남도,43.1,48.7,22.9,25.4,8.2,7.9,,,,,0.931,0.95,,,,,26.0,28.4,,False
2022,35000,전라북도,전라북도,전라북도,41.4,48.8,22.7,24.9,8.4,7.8,,,,,0.934,0.957,,,,,20.5,21.3,,False
2022,36000,전라남도,전라남도,전라남도,44.6,53.5,19.6,21.5,6.4,5.8,,,,,0.939,0.964,,,,,22.9,26.8,,False
2022,37000,경상북도,경상북도,경상북도,39.6,46.1,20.4,23.4,7.3,6.8,,,,,0.94,0.961,,,,,20.3,23.7,,False
2022,38000,경상남도,경상남도,경상남도,40.5,46.3,20.7,23.1,7.2,6.9,,,,,0.944,0.958,,,,,22.1,23.4,,False
2022,39000,제주특별자치도,제주특별자치도,제주특별자치도,44.4,49.5,23.0,25.0,6.1,5.7,,,,,0.954,0.965,,,,,21.6,24.6,,False
2023,0,전국,전국,전국,43.8,48.8,24.6,26.4,7.9,7.7,,,,,,,,,,,27.8,29.1,,True
2023,11000,서울특별시,서울특별시,서울특별시,49.6,53.7,25.4,27.1,8.4,8.3,,,,,,,,,,,32.9,33.5,,False
2023,21000,부산광역시,부산광역시,부산광역시,40.3,47.0,22.0,23.9,8.2,7.7,,,,,,,,,,,27.6,30.3,,False
2023,22000,대구광역시,대구광역시,대구광역시,42.1,48.3,21.8,23.8,6.8,6.7,,,,,,,,,,,30.3,31.1,,False
2023,23000,인천광역시,인천광역시,인천광역시,43.1,47.4,25.4,27.0,6.9,6.5,,,,,,,,,,,24.8,25.5,,False
