year,region_code,sido_nia,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family,sido_chs,subjective_health_std,stress_std,depression_std,depression_counseling_std,stress_counseling_std,suicide_ideation_std,happiness_std,eq5d_std,aged_pop_rate,elderly_living_alone_household_rate,unemployment_rate,psychiatry_specialists_count,psychiatry_clinic_count,log1p_psychiatry_specialists_count,log1p_psychiatry_clinic_count,digital_raw_mean,internet_use_rate_pooled_z,internet_use_rate_within_year_z,mobile_internet_use_rate_pooled_z,mobile_internet_use_rate_within_year_z,smartphone_use_rate_pooled_z,smartphone_use_rate_within_year_z,digital_index_pooled_z,digital_index_within_year_z_raw,digital_index_within_year_z
2022,incheon,인천광역시,93.6,88.7,88.1,NIA Internet Usage Survey,인천광역시,46.8,26.3,8.0,20.4,,,,0.955,15.6,7.726940269523909,3.3,170,55,5.14166355650266,4.02535169073515,90.13333333333333,0.1524304980074625,0.15985696571291136,-1.2193190045235591,-1.2302666160625886,-1.2210358429931987,-1.3922466687605928,-0.7626414498364319,-0.8208854397034232,-0.8569404806680524
2022,gwangju,광주광역시,98.6,98.1,98.0,NIA Internet Usage Survey,광주광역시,48.2,25.9,6.3,23.0,,,,0.96,15.6,8.17807243298056,2.9,115,43,4.7535901911063645,3.784189633918261,98.23333333333333,1.5710354977119636,1.4790649351884175,1.4931706974188659,1.3633561444493154,1.587624736174306,1.2948532664734373,1.5506103104350453,1.3790914487037231,1.4396640892599362
2022,daejeon,대전광역시,93.8,93.0,93.0,NIA Internet Usage Survey,대전광역시,58.3,24.5,6.7,34.3,,,,0.959,16.1,7.792579438616247,2.4,138,64,4.934473933130692,4.174387269895637,93.26666666666667,0.20917469799564334,0.21262528449193235,0.02150075274797604,-0.04382216178586619,0.1691092921503146,-0.06226791293768816,0.13326158096464466,0.03551173658945934,0.03707148787207606
2022,ulsan,울산광역시,97.9,97.5,97.1,NIA Internet Usage Survey,울산광역시,48.2,21.9,7.8,25.2,,,,0.954,14.7,7.481530755642095,3.2,58,17,4.07753744390572,2.8903717578961645,97.5,1.3724307977533365,1.2943758194618495,1.320033056869351,1.197805755480472,1.332291956249986,1.0505714541794333,1.341585270290891,1.1809176763739184,1.232786101781611
2022,sejong,세종특별자치시,89.7,88.6,88.3,NIA Internet Usage Survey,세종특별자치시,62.1,20.1,4.1,17.2,,,,0.964,10.5,4.622157006603081,2.0,19,11,2.995732273553991,2.4849066497880004,88.86666666666667,-0.9540814017620459,-0.8691252504779812,-1.2481752779484812,-1.2578583475573983,-1.1642952252322383,-1.337961821584147,-1.1221839683142552,-1.154981806539842,-1.2057110731756844
2022,gyeonggi,경기도,93.0,90.2,90.0,NIA Internet Usage Survey,경기도,50.5,24.6,7.1,27.0,,,,0.959,14.7,6.738718204655737,2.7,859,313,6.756932389247553,5.749392985908253,91.06666666666666,-0.01780210195707603,0.001552009375852125,-0.7864749031497675,-0.8163906436404759,-0.6819999742640803,-0.8765406205843634,-0.49542565979030795,-0.5637930849496624,-0.5885560808444107
2022,gangwon,강원특별자치도,83.1,88.6,88.9,NIA Internet Usage Survey,강원도,48.0,25.5,7.1,23.4,,,,0.954,22.8,12.169602639820702,3.2,90,22,4.51085950651685,3.1354942159291497,86.86666666666667,-2.82664000137199,-2.6104797701856515,-1.2481752779484812,-1.2578583475573983,-0.9940733719493569,-1.1751072800548095,-1.689629550423276,-1.6811484659326197,-1.7549880955266393
2022,chungbuk,충청북도,93.5,92.7,92.9,NIA Internet Usage Survey,충청북도,50.9,25.2,7.8,22.2,,,,0.956,19.9,10.40980955191356,2.5,111,32,4.718498871295094,3.49650756146648,93.03333333333335,0.12405839801337408,0.13347280632340275,-0.06506806752678147,-0.12659735627028795,0.14073898326983636,-0.08941033652590913,0.06657643791880966,-0.027511628824264778,-0.02871999829494297
2022,chungnam,충청남도,92.3,87.2,87.7,NIA Internet Usage Survey,충청남도,48.7,25.4,7.9,28.4,,,,0.95,20.6,10.650761781032244,2.3,125,31,4.836281906951478,3.4657359027997265,89.06666666666666,-0.216406801915707,-0.18313710635071948,-1.652163105897351,-1.6441425884847012,-1.3345170785151157,-1.5008163631134805,-1.0676956621093912,-1.1093653526496337,-1.1580910472471329
2022,jeonbuk,전북특별자치도,92.7,97.8,98.0,NIA Internet Usage Survey,전라북도,48.8,24.9,7.8,21.3,,,,0.957,23.2,12.838313959469192,2.4,135,50,4.912654885736052,3.9318256327243257,96.16666666666667,-0.10291840193934529,-0.0776004687926775,1.4066018771441084,1.2805809499648937,1.587624736174306,1.2948532664734373,0.9637694037930231,0.8326112492152179,0.8691813127662451
2022,jeonnam,전라남도,85.7,96.0,96.7,NIA Internet Usage Survey,전라남도,53.5,21.5,5.8,26.8,,,,0.964,25.2,14.953386563350303,2.2,123,24,4.820281565605037,3.218875824868201,92.8,-2.088965401525647,-1.9244916260583862,0.8871889554955593,0.7839297830583593,1.2188107207280692,0.9420017598265455,0.005678091565993822,-0.0661866943911605,-0.06909375530632084
2022,gyeongbuk,경상북도,93.9,93.5,93.6,NIA Internet Usage Survey,경상북도,46.1,23.4,6.8,23.7,,,,0.961,23.8,13.089189286516577,2.5,175,30,5.170483995038151,3.4339872044851463,93.66666666666667,0.23754679798973577,0.23900944388144474,0.16578211987257324,0.09413649568817138,0.3393311454331919,0.10058662859164536,0.24755335443183366,0.1445775227204205,0.15092767616708594
2022,gyeongnam,경상남도,94.0,91.8,92.0,NIA Internet Usage Survey,경상남도,46.3,23.1,6.9,23.4,,,,0.958,19.5,11.217873227785564,3.3,243,57,5.497168225293202,4.060443010546419,92.60000000000001,0.2659188979838242,0.26539360327095335,-0.3247745283510581,-0.37492293972355717,-0.11459379665448373,-0.33369214881991327,-0.057816475673905875,-0.14774049509083903,-0.15422957303642756
2022,jeju,제주특별자치도,96.0,98.8,99.0,NIA Internet Usage Survey,제주특별자치도,49.5,25.0,5.7,24.6,,,,0.965,17.1,8.023893565028509,2.1,36,19,3.610917912644224,2.995732273553991,97.93333333333334,0.8333608978656246,0.7930767910611558,1.695164611393303,1.5564982649129688,1.8713278249791043,1.5662775023556625,1.4666177780793441,1.305284186109929,1.362615054126885
2023,seoul,서울특별시,93.2,92.5,90.7,NIA Internet Usage Survey,서울특별시,53.7,27.1,8.3,33.5,,,,,18.5,8.072803676014853,2.7,1161,560,7.057897937411856,6.329720905522696,92.13333333333333,0.03894209803110482,-0.5202255957269638,-0.12278061437662117,-0.6563145894246022,-0.4834078121007207,-0.7773592850419234,-0.189082109482079,-0.6512998233978298,-0.6799063020574444
2023,busan,부산광역시,94.8,94.5,94.1,NIA Internet Usage Survey,부산광역시,47.0,23.9,7.7,30.3,,,,,22.6,11.935142409347897,3.1,314,139,5.752572638825633,4.941642422609304,94.46666666666665,0.49289569793654353,0.17682544879388684,0.45434485412176767,0.20194295059218437,0.4811826898355911,0.4847577564025448,0.47614108063130073,0.28784205192953866,0.3004846893448312
2023,daegu,대구광역시,98.4,98.4,97.7,NIA Internet Usage Survey,대구광역시,48.3,23.8,6.7,31.1,,,,,19.6,10.551102456549218,3.1,208,78,5.342334251964811,4.3694478524670215,98.16666666666667,1.5142912977237868,1.74519029896581,1.5797395176936275,1.8755451536249206,1.5025138095328674,1.8211169767555178,1.532181541650094,1.8139508097820827,1.8936234018287226
2023,incheon,인천광역시,93.6,93.1,91.7,NIA Internet Usage Survey,인천광역시,47.4,27.0,6.5,25.5,,,,,16.6,8.252506907278242,3.2,185,60,5.225746673713202,4.110873864173311,92.8,0.1524304980074625,-0.3459628345967542,0.050357026172893844,-0.3988373274195687,-0.19970472329592243,-0.40614839049943186,0.0010276002948113039,-0.3836495175052516,-0.40050022334151203
2023,gwangju,광주광역시,96.7,96.4,95.7,NIA Internet Usage Survey,광주광역시,50.8,24.7,7.0,25.4,,,,,16.5,8.930659876800902,2.5,116,46,4.762173934797756,3.8501476017100575,96.26666666666667,1.0319655978242557,1.0045735641624023,1.0026140491952387,1.0172876136081341,0.9351076319232708,1.0786951876705344,0.9898957596475885,1.033518788480357,1.0789131400598388
2023,daejeon,대전광역시,96.8,96.4,94.9,NIA Internet Usage Survey,대전광역시,59.6,28.3,7.9,28.0,,,,,17.0,8.26347835781121,2.8,139,67,4.941642422609304,4.219507705176107,96.03333333333335,1.060337697818344,1.0481392544449533,1.0026140491952387,1.0172876136081341,0.708145160879433,0.7817264720365423,0.9236989692976718,0.9490511133632099,0.9907354643272147
2023,ulsan,울산광역시,97.2,96.5,96.2,NIA Internet Usage Survey,울산광역시,45.1,25.8,8.6,20.8,,,,,15.9,8.073490217820744,3.4,63,20,4.158883083359672,3.044522437723423,96.63333333333333,1.1738260977947057,1.222402015575169,1.0314703226201565,1.060200490608971,1.07695917632567,1.2643006349417802,1.0940851989135107,1.1823010470419735,1.2342302330426718
2023,sejong,세종특별자치시,95.6,95.4,93.7,NIA Internet Usage Survey,세종특별자치시,49.8,25.8,8.8,28.4,,,,,11.0,4.91613612538672,2.0,22,13,3.1354942159291497,2.6390573296152584,94.89999999999999,0.7198724978892629,0.5253509710543122,0.7140513149460443,0.5881588435997408,0.3677014543136742,0.33627339858555133,0.6005417557163271,0.4832610710798681,0.5044869290031021
2023,gyeonggi,경기도,93.2,92.5,91.0,NIA Internet Usage Survey,경기도,47.4,27.7,7.7,28.7,,,,,15.6,7.38691322074231,2.6,875,333,6.775366090936392,5.811140992976701,92.23333333333333,0.03894209803110482,-0.5202255957269638,-0.12278061437662117,-0.6563145894246022,-0.39829688545928205,-0.665996016679177,-0.16071180060159948,-0.614178733943581,-0.6411547751070595
2023,gangwon,강원특별자치도,90.9,90.4,88.3,NIA Internet Usage Survey,강원도,46.9,27.2,8.6,28.1,,,,,24.0,13.115648401368825,2.8,87,22,4.477336814478207,3.1354942159291497,89.86666666666667,-0.6136162018329648,-1.522236472225689,-0.7287623562999278,-1.5574850064422257,-1.1642952252322383,-1.6682654319439054,-0.835557927788377,-1.5826623035372733,-1.6521762106274362
2023,chungbuk,충청북도,95.4,94.9,92.9,NIA Internet Usage Survey,충청북도,48.6,26.3,7.5,29.7,,,,,20.8,10.987447082949776,2.3,114,35,4.74493212836325,3.58351893845611,94.40000000000002,0.6631282979010861,0.43821959048921044,0.5697699478214471,0.37359445859554413,0.14073898326983636,0.03930468295155911,0.45787907633078984,0.28370624401210454,0.29616722791440653
2023,chungnam,충청남도,95.2,94.7,93.3,NIA Internet Usage Survey,충청남도,46.2,27.7,8.3,25.0,,,,,21.3,11.12909023635112,2.6,124,33,4.8283137373023015,3.5263605246161616,94.39999999999999,0.6063840979129053,0.35108820992410256,0.5120574009716073,0.2877687045938642,0.25422021879175327,0.18778904076855257,0.4575539058920886,0.2755486517621731,0.2876513367977656
2023,jeonbuk,전북특별자치도,93.6,93.5,93.0,NIA Internet Usage Survey,전라북도,45.6,26.5,9.4,29.3,,,,,24.1,13.482253503225191,2.5,131,51,4.882801922586371,3.951243718581428,93.36666666666667,0.1524304980074625,-0.3459628345967542,0.16578211987257324,-0.22718581941620894,0.1691092921503146,0.07642577240580616,0.16244063667678343,-0.1655742938690523,-0.1728466703291519
2023,jeonnam,전라남도,90.6,90.4,89.5,NIA Internet Usage Survey,전라남도,47.2,25.6,5.8,23.0,,,,,26.1,15.544047329400982,2.2,118,26,4.77912349311153,3.295836866004329,90.16666666666667,-0.6987325018152382,-1.6529335430733538,-0.7287623562999278,-1.5574850064422257,-0.8238515186664795,-1.2228123584929145,-0.7504487922605484,-1.4777436360028313,-1.5426492912311078
2023,gyeongbuk,경상북도,94.9,94.7,94.0,NIA Internet Usage Survey,경상북도,45.9,23.9,7.5,28.2,,,,,24.7,13.622048459018304,2.6,173,30,5.159055299214529,3.4339872044851463,94.53333333333335,0.5212677979306359,0.22039113907644386,0.5120574009716073,0.2877687045938642,0.4528123809551129,0.44763666694829773,0.4953791932857854,0.3185988368728686,0.33259237794345403
2023,gyeongnam,경상남도,94.7,94.6,93.5,NIA Internet Usage Survey,경상남도,45.4,24.5,7.6,24.6,,,,,20.6,11.987744895605196,2.5,242,57,5.493061443340548,4.060443010546419,94.26666666666667,0.4645235979424551,0.13325975851133598,0.4832011275466855,0.24485582759302127,0.3109608365527137,0.26203121967705195,0.4195618540139514,0.21338226859380308,0.2227544733658301
2023,jeju,제주특별자치도,89.9,89.6,87.3,NIA Internet Usage Survey,제주특별자치도,51.9,23.5,5.1,35.9,,,,,17.9,8.481396978244076,1.9,41,22,3.737669618283368,3.1354942159291497,88.93333333333334,-0.8973372017738651,-1.957893375051222,-0.9596125436992866,-1.9007880224489453,-1.4479983140370365,-2.039476326486397,-1.1016493531700629,-1.9660525746621882,-2.05240580093414
