dataset,variable,label,value,raw_n,raw_pct
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",2.0,1373,0.21960972488803582
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",1.0,219,0.03502879078694818
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",-9.0,183,0.02927063339731286
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",-7.0,163,0.026071657069737682
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",-6.0,139,0.022232885476647472
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",-2.0,14,0.0022392834293026233
HINTS6_2022,MedConditions_Depression,H6e. Has a doctor or other health professional ever told you that you had depres,2.0,4433,0.7090531030070377
HINTS6_2022,MedConditions_Depression,H6e. Has a doctor or other health professional ever told you that you had depres,1.0,1578,0.2523992322456814
HINTS6_2022,MedConditions_Depression,H6e. Has a doctor or other health professional ever told you that you had depres,-7.0,172,0.027511196417146513
HINTS6_2022,MedConditions_Depression,H6e. Has a doctor or other health professional ever told you that you had depres,-9.0,69,0.011036468330134356
